RANGKUMAN METRIK RES256 - HYBRID vs LSB
========================================================================================================================
Tanggal        : 2026-04-06 09:20:08
Hybrid files   : 40
LSB files      : 40
Total net union: 40

Format kolom:
net | H:[TP TN FP FN | Acc Pre Rec] | L:[TP TN FP FN | Acc Pre Rec]
------------------------------------------------------------------------------------------------------------------------
net_1   | H:[24 37  3 16 |  76.25%  88.89%  60.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_2   | H:[37 28 12  3 |  81.25%  75.51%  92.50%]        | L:[39 28 12  1 |  83.75%  76.47%  97.50%]
net_3   | H:[23 38  2 17 |  76.25%  92.00%  57.50%]        | L:[36 38  2  4 |  92.50%  94.74%  90.00%]
net_4   | H:[28 39  1 12 |  83.75%  96.55%  70.00%]        | L:[38 39  1  2 |  96.25%  97.44%  95.00%]
net_5   | H:[24 39  1 16 |  78.75%  96.00%  60.00%]        | L:[36 39  1  4 |  93.75%  97.30%  90.00%]
net_6   | H:[31 33  7  9 |  80.00%  81.58%  77.50%]        | L:[40 33  7  0 |  91.25%  85.11% 100.00%]
net_7   | H:[40 33  7  0 |  91.25%  85.11% 100.00%]        | L:[40 33  7  0 |  91.25%  85.11% 100.00%]
net_8   | H:[27 39  1 13 |  82.50%  96.43%  67.50%]        | L:[37 39  1  3 |  95.00%  97.37%  92.50%]
net_9   | H:[35 38  2  5 |  91.25%  94.59%  87.50%]        | L:[39 38  2  1 |  96.25%  95.12%  97.50%]
net_10  | H:[23 38  2 17 |  76.25%  92.00%  57.50%]        | L:[39 38  2  1 |  96.25%  95.12%  97.50%]
net_11  | H:[33 37  3  7 |  87.50%  91.67%  82.50%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_12  | H:[33 39  1  7 |  90.00%  97.06%  82.50%]        | L:[38 39  1  2 |  96.25%  97.44%  95.00%]
net_13  | H:[26 39  1 14 |  81.25%  96.30%  65.00%]        | L:[38 39  1  2 |  96.25%  97.44%  95.00%]
net_14  | H:[36 38  2  4 |  92.50%  94.74%  90.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_15  | H:[40 37  3  0 |  96.25%  93.02% 100.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_16  | H:[40 32  8  0 |  90.00%  83.33% 100.00%]        | L:[40 32  8  0 |  90.00%  83.33% 100.00%]
net_17  | H:[39 16 24  1 |  68.75%  61.90%  97.50%]        | L:[39 16 24  1 |  68.75%  61.90%  97.50%]
net_18  | H:[40 30 10  0 |  87.50%  80.00% 100.00%]        | L:[40 30 10  0 |  87.50%  80.00% 100.00%]
net_19  | H:[29 38  2 11 |  83.75%  93.55%  72.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_20  | H:[38 38  2  2 |  95.00%  95.00%  95.00%]        | L:[39 38  2  1 |  96.25%  95.12%  97.50%]
net_21  | H:[37 38  2  3 |  93.75%  94.87%  92.50%]        | L:[39 38  2  1 |  96.25%  95.12%  97.50%]
net_22  | H:[32 39  1  8 |  88.75%  96.97%  80.00%]        | L:[39 39  1  1 |  97.50%  97.50%  97.50%]
net_23  | H:[35 39  1  5 |  92.50%  97.22%  87.50%]        | L:[39 39  1  1 |  97.50%  97.50%  97.50%]
net_24  | H:[35 39  1  5 |  92.50%  97.22%  87.50%]        | L:[39 39  1  1 |  97.50%  97.50%  97.50%]
net_25  | H:[27 39  1 13 |  82.50%  96.43%  67.50%]        | L:[39 39  1  1 |  97.50%  97.50%  97.50%]
net_26  | H:[35 39  1  5 |  92.50%  97.22%  87.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_27  | H:[34 38  2  6 |  90.00%  94.44%  85.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_28  | H:[30 39  1 10 |  86.25%  96.77%  75.00%]        | L:[38 39  1  2 |  96.25%  97.44%  95.00%]
net_29  | H:[34 39  1  6 |  91.25%  97.14%  85.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_30  | H:[33 39  1  7 |  90.00%  97.06%  82.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_31  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_32  | H:[29 39  1 11 |  85.00%  96.67%  72.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_33  | H:[37 36  4  3 |  91.25%  90.24%  92.50%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_34  | H:[32 39  1  8 |  88.75%  96.97%  80.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_35  | H:[36 39  1  4 |  93.75%  97.30%  90.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_36  | H:[33 39  1  7 |  90.00%  97.06%  82.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_37  | H:[34 39  1  6 |  91.25%  97.14%  85.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_38  | H:[33 39  1  7 |  90.00%  97.06%  82.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_39  | H:[35 39  1  5 |  92.50%  97.22%  87.50%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
net_40  | H:[33 39  1  7 |  90.00%  97.06%  82.50%]        | L:[39 39  1  1 |  97.50%  97.50%  97.50%]
