RANGKUMAN METRIK RES1024 - HYBRID vs LSB
========================================================================================================================
Tanggal        : 2026-04-07 12:10:54
Hybrid files   : 40
LSB files      : 40
Total net union: 40

Format kolom:
net | H:[TP TN FP FN | Acc Pre Rec] | L:[TP TN FP FN | Acc Pre Rec]
------------------------------------------------------------------------------------------------------------------------
net_1   | H:[32 33  7  8 |  81.25%  82.05%  80.00%]        | L:[36 33  7  4 |  86.25%  83.72%  90.00%]
net_2   | H:[26 35  5 14 |  76.25%  83.87%  65.00%]        | L:[36 35  5  4 |  88.75%  87.80%  90.00%]
net_3   | H:[ 9 39  1 31 |  60.00%  90.00%  22.50%]        | L:[26 39  1 14 |  81.25%  96.30%  65.00%]
net_4   | H:[19 39  1 21 |  72.50%  95.00%  47.50%]        | L:[31 39  1  9 |  87.50%  96.88%  77.50%]
net_5   | H:[34 31  9  6 |  81.25%  79.07%  85.00%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_6   | H:[34 33  7  6 |  83.75%  82.93%  85.00%]        | L:[39 33  7  1 |  90.00%  84.78%  97.50%]
net_7   | H:[36 33  7  4 |  86.25%  83.72%  90.00%]        | L:[40 33  7  0 |  91.25%  85.11% 100.00%]
net_8   | H:[34 34  6  6 |  85.00%  85.00%  85.00%]        | L:[40 34  6  0 |  92.50%  86.96% 100.00%]
net_9   | H:[34 36  4  6 |  87.50%  89.47%  85.00%]        | L:[39 36  4  1 |  93.75%  90.70%  97.50%]
net_10  | H:[32 36  4  8 |  85.00%  88.89%  80.00%]        | L:[39 36  4  1 |  93.75%  90.70%  97.50%]
net_11  | H:[16 38  2 24 |  67.50%  88.89%  40.00%]        | L:[39 38  2  1 |  96.25%  95.12%  97.50%]
net_12  | H:[40 24 16  0 |  80.00%  71.43% 100.00%]        | L:[40 24 16  0 |  80.00%  71.43% 100.00%]
net_13  | H:[36 34  6  4 |  87.50%  85.71%  90.00%]        | L:[40 34  6  0 |  92.50%  86.96% 100.00%]
net_14  | H:[34 36  4  6 |  87.50%  89.47%  85.00%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_15  | H:[28 36  4 12 |  80.00%  87.50%  70.00%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_16  | H:[34 37  3  6 |  88.75%  91.89%  85.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_17  | H:[38 31  9  2 |  86.25%  80.85%  95.00%]        | L:[40 31  9  0 |  88.75%  81.63% 100.00%]
net_18  | H:[36 34  6  4 |  87.50%  85.71%  90.00%]        | L:[40 34  6  0 |  92.50%  86.96% 100.00%]
net_19  | H:[35 35  5  5 |  87.50%  87.50%  87.50%]        | L:[40 35  5  0 |  93.75%  88.89% 100.00%]
net_20  | H:[35 36  4  5 |  88.75%  89.74%  87.50%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_21  | H:[29 36  4 11 |  81.25%  87.88%  72.50%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_22  | H:[38 33  7  2 |  88.75%  84.44%  95.00%]        | L:[40 33  7  0 |  91.25%  85.11% 100.00%]
net_23  | H:[24 38  2 16 |  77.50%  92.31%  60.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_24  | H:[26 37  3 14 |  78.75%  89.66%  65.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_25  | H:[35 36  4  5 |  88.75%  89.74%  87.50%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_26  | H:[35 37  3  5 |  90.00%  92.11%  87.50%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_27  | H:[23 38  2 17 |  76.25%  92.00%  57.50%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_28  | H:[25 37  3 15 |  77.50%  89.29%  62.50%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_29  | H:[35 36  4  5 |  88.75%  89.74%  87.50%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_30  | H:[24 37  3 16 |  76.25%  88.89%  60.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_31  | H:[26 37  3 14 |  78.75%  89.66%  65.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_32  | H:[37 36  4  3 |  91.25%  90.24%  92.50%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_33  | H:[29 37  3 11 |  82.50%  90.62%  72.50%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_34  | H:[27 37  3 13 |  80.00%  90.00%  67.50%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_35  | H:[34 36  4  6 |  87.50%  89.47%  85.00%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_36  | H:[33 37  3  7 |  87.50%  91.67%  82.50%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_37  | H:[35 36  4  5 |  88.75%  89.74%  87.50%]        | L:[40 36  4  0 |  95.00%  90.91% 100.00%]
net_38  | H:[32 38  2  8 |  87.50%  94.12%  80.00%]        | L:[40 38  2  0 |  97.50%  95.24% 100.00%]
net_39  | H:[34 37  3  6 |  88.75%  91.89%  85.00%]        | L:[40 37  3  0 |  96.25%  93.02% 100.00%]
net_40  | H:[24 39  1 16 |  78.75%  96.00%  60.00%]        | L:[40 39  1  0 |  98.75%  97.56% 100.00%]
